time,channel,trace_index,temperature,mean_baseline,std_baseline,mean,std,A,rise_time,TF_ampl,TF_chi2,TF_baseline,baseline_slope,baseline_offset,time_shift,OF_ampl_0,OF_chi2_0,OF_time_0,OF_ampl_1,OF_chi2_1,OF_time_1
19547127,0,52,32753.1,128.216,5.72886061970441,4929.323333740234,2811.675934890827,10414.784,2.636799925426203e-05,10401.159687190026,2.0616387445731377,124.03027807570106,0.0005155989697249427,127.18505986003504,4035,10401.034552470399,1.0174637777575175,0,10400.775720251499,1.0240670790684236,0
20378987,0,53,32751.9,127.219,5.742171975829355,4935.448181152344,2815.5190593255884,10430.781,2.636799925426203e-05,10415.372342072602,2.249615394399878,123.58345414659925,-0.0004344174646510721,128.08761772056982,4035,10416.813879495352,1.0191500116475503,0,10416.522127595985,1.0568293217859055,0
20799399,0,54,32750.8,130.13725,5.487477784693073,4936.252105712891,2815.1012836365953,10425.86275,2.636799925426203e-05,10413.832126903228,2.102479020466138,125.35279764455845,0.00028929479933095234,129.5588050487378,4035,10414.422704406896,0.9988221114856423,0,10414.155952893792,1.0126838097194755,0
21139811,0,55,32749.8,131.25425,5.823023865441391,4926.029632568359,2808.5357779473525,10402.74575,2.636799925426203e-05,10389.543818068767,2.0059506804604426,126.00249957210326,-0.0009358872772429861,133.12555661084738,4035,10390.23668335756,0.9921267442994157,0,10389.971152614033,1.0053515139116092,0
21276400,0,56,32751.8,130.3565,5.426039785147175,4936.7119140625,2814.574441241984,10428.6435,2.6623999247021857e-05,10411.878898709998,2.349088769789157,126.7753515769873,-0.00019721982482627184,130.75084103974027,4034,10413.277840084318,1.0243048395806673,0,10412.987245387922,1.0609486074470698,0
21365306,0,57,32748.5,131.197,5.538789669232801,4937.412170410156,2815.6773495889247,10423.803,2.636799925426203e-05,10415.963402616446,2.070200621753499,125.47808371793872,0.0007911156119447257,129.61516433391657,4035,10416.027292413288,0.9938284301060369,0,10415.763257323433,1.0050617840903033,0
21446614,0,58,32749.6,129.27975,5.843243101009918,4937.185852050781,2816.1820376477713,10431.72025,2.6623999247021857e-05,10417.82790080244,2.072597191968213,124.08694837076473,-0.0008107295194205603,130.9008036740814,4035,10419.023595858323,1.0126347040965256,0,10418.744528474905,1.0381574890086454,0
21507351,0,59,32749.4,128.4935,5.614887153808169,4934.775970458984,2814.9932597506127,10423.5065,2.6623999247021857e-05,10413.431386854583,2.107489800809412,123.93417255424356,0.0003940003371250851,127.70569632591844,4035,10413.474224275778,0.9938929615005544,0,10413.197233966854,1.0175479332609636,0
21648757,0,60,32750.2,128.777,5.523791361012833,4926.366363525391,2809.540992747637,10412.223,2.636799925426203e-05,10393.259213567686,2.276484386364441,124.92401197778236,-0.0005370193460637358,129.8507701824545,4035,10394.12528760343,0.9970302868058945,0,10393.834515319753,1.0342177615340054,0
21734407,0,61,32748.8,127.44925,5.503128604484908,4934.800354003906,2815.6170897779893,10435.55075,2.636799925426203e-05,10415.736456361432,2.286582169585589,123.00665161428333,0.00013090003943123457,127.18751537115729,4035,10416.636064960581,1.0230389819888923,0,10416.346347820074,1.0587790607723904,0
21960955,0,62,32747.3,127.4405,5.508035924900999,4935.188415527344,2815.6694978877626,10429.5595,2.636799925426203e-05,10415.934410400761,2.0794993628875624,123.29846089538842,-0.0002755500172218782,127.9914622594351,4035,10416.093229100046,0.9946463824424494,0,10415.824663933403,1.010203189314274,0
22221624,0,63,32748.0,130.9325,5.609317583271605,4932.029022216797,2812.8223475615455,10429.0675,2.6623999247021857e-05,10405.398156222192,2.2255105529077586,124.89968881289678,-0.0008852274928267219,132.70251237190706,4035,10406.137152412124,1.0223462109377859,0,10405.896102149436,1.0118744819965262,0
22375341,0,64,32750.2,129.9865,5.573806396888934,4935.508972167969,2814.4357706101086,10421.0135,2.636799925426203e-05,10411.366762008449,2.237052788362426,125.6609660433096,-0.00027452364215770764,130.5354100224944,4035,10412.052117818299,1.018570063761111,0,10411.765510896304,1.0514321689064932,0
22600954,0,66,32748.7,129.95,5.665200790792856,4929.558837890625,2811.156632683683,10413.05,2.636799925426203e-05,10399.239263043095,2.0560095517547285,125.21561237178321,-0.00014326294645401944,130.2364542614348,4035,10400.050834775331,0.9912352560449925,0,10399.795065766148,0.9949406706611221,0
22643341,0,67,32749.1,130.78275,5.522730523708359,4938.791259765625,2815.5611258786166,10430.21725,2.6623999247021857e-05,10415.532041562587,2.147100394272693,127.07228166452478,-1.66459697903699e-05,130.81603361659583,4035,10417.208434078513,1.002350419182186,0,10416.936637280143,1.0209687007188084,0
22869540,0,68,32748.8,130.38775,5.352186463259665,4930.570495605469,2811.294545286915,10409.61225,2.636799925426203e-05,10399.749153110184,2.198448991994974,126.3049981400327,-0.00045203955950243283,131.2916030992251,4035,10400.499618972199,1.0078797622762932,0,10400.241155177378,1.0141438628402901,0
23267559,0,69,32749.3,128.32675,5.4351158623804885,4927.209716796875,2810.694835212505,10410.67325,2.6623999247021857e-05,10397.53097861068,2.1453307742640035,123.88485569097975,-0.00030232117514506293,128.93124118970252,4035,10397.914992298844,0.9924045635379002,0,10397.643721981116,1.0109319356086235,0
23809760,0,73,32749.9,129.88425,5.56608946545957,4927.633270263672,2810.7240318233157,10407.11575,2.636799925426203e-05,10397.63840831814,2.1203712421383325,124.1278626423591,-0.0006937143246071273,131.27133179205197,2198,10397.79208220167,1.003953434551933,0,10397.517834618524,1.0253208515001275,0
24576881,0,74,32749.1,127.24525,5.466681117231917,4932.365570068359,2815.175100470391,10433.75475,2.636799925426203e-05,10414.104892565374,2.126376729847545,121.3611922886339,0.0001928532308033428,126.85963996500875,4035,10414.253123204131,0.9930335862480997,0,10413.980248949385,1.0127433828656172,0
25173454,0,75,32749.6,128.65375,5.402995552237666,4933.011932373047,2814.47409792419,10420.34625,2.636799925426203e-05,10411.507012687463,2.396424303655354,123.27001910412946,0.00017406535462905084,128.30570632341926,4034,10412.100709875647,1.0153768202607714,0,10411.80864769431,1.0534441345254486,0
25178771,0,76,32747.8,130.8055,5.5598264136571744,4930.926330566406,2810.8097062876736,10414.1945,2.6623999247021857e-05,10397.950747656421,2.3488235721706876,127.28305853901475,-0.0006914927307182659,132.18813971507115,4034,10398.037431400595,1.0243342349339062,0,10397.739338948446,1.068421904460848,0
25320570,0,77,32746.4,128.598,5.562544022297712,4935.457763671875,2815.4230179830433,10431.402,2.636799925426203e-05,10415.022307411364,2.073324626241116,123.93418639969968,-0.00014136263383522147,128.8806545863536,4035,10416.257612923897,0.9968884971454628,0,10415.992442688508,1.009200525147017,0
26080074,0,78,32747.7,128.46075,5.439987080637232,4929.9508056640625,2812.287071034281,10415.53925,2.636799925426203e-05,10403.421575588654,2.1199118186410977,123.90288621528452,-0.00015712341607021922,128.77491827043244,4035,10403.59853776204,0.9910881336134213,0,10403.329568373389,1.0073002910478308,0
26525755,0,79,32747.5,129.2355,5.5154818239207355,4921.139465332031,2806.863313846489,10401.7645,2.6623999247021857e-05,10383.356842662964,2.1235205453147294,124.27482387584678,0.00042617608913601325,128.38336090977248,4035,10383.886201320054,0.9903354520712742,0,10383.614329281834,1.0097338945102845,0
26720328,0,80,32749.1,129.224,5.595116084586628,4936.994842529297,2815.4535965107784,10428.776,2.636799925426203e-05,10415.13517801551,2.0729356098291567,125.3866096073616,-5.754694109668401e-05,129.33906510872285,4035,10415.886073422453,0.9961664144015462,0,10415.617956799826,1.011299481175543,0
26777749,0,81,32748.5,129.50125,5.477042855181982,4932.919769287109,2813.1200918637223,10418.49875,2.636799925426203e-05,10406.502811397455,2.1225425391431103,125.41297289103386,-0.0004335734333484051,130.36818007998014,4035,10407.371907686447,0.9949014614047581,0,10407.111498425817,1.0028667306506007,0
27472205,0,82,32749.2,129.42775,5.498070564980045,4935.179595947266,2814.6765117914006,10425.57225,2.636799925426203e-05,10412.260094513742,2.1323779624575656,124.9951017452986,-0.00014971304060711646,129.7271012246939,4035,10412.069951951502,0.9939908784132755,0,10411.8150546907,0.9965908261021582,0
28078063,0,83,32748.4,127.048,5.538519296707379,4936.555755615234,2816.9944309976336,10432.952,2.636799925426203e-05,10420.833328898625,2.1864684233300253,122.37473566446715,0.00020719613794974035,126.63371132216953,4035,10420.27359676853,1.0094111518935391,0,10419.98824364026,1.0409115426347404,0
28453107,0,84,32746.5,126.01925,5.600435647117107,4932.819122314453,2815.185201571086,10424.98075,2.636799925426203e-05,10414.141183631993,2.1254290210827413,121.66424366989668,-0.00018236879264806044,126.38389640089984,4035,10414.027462848455,1.011046968822055,0,10413.770722893634,1.0153610418866,0
